Uberstrain,Name,Lab Contact,Species,Serological Group,Serotype,EcoR Cluster,Path/Nonpath,Simple Patho,Simple Disease,Comment,Disease,Date Entered,Release Date,Barcode,Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status),Source Niche,Source Type,Source Details,Collection Year,Collection Month,Collection Day,Collection Time,Continent,Country,Region,District,City,Post Code,Latitude,Longitude,Bio Project ID,Project ID,Sample ID,Secondary Sample ID,Clermont Type (ClermonTyping),Clermont Type (EzClermont),fimH (fimTyper)
ESC_HA9172AA,KS29_1A,KYUSHU,Escherichia coli,,,,,,,,,17/11/17,17/11/17,ESC_HA9172AA,DRR103028;ILLUMINA;Paired;600;DRX096448,Livestock,Bovine,feces; Bos taurus,2013,,,,Asia,Japan,,,,,,,PRJDB5579,DRP003877,SAMD00077436,DRS052362,B1,B1,fimH54
ESC_HA9208AA,KK089-1A,KYUSHU,Escherichia coli,,,,,,,,,17/11/17,17/11/17,ESC_HA9208AA,DRR102992;ILLUMINA;Paired;600;DRX096412,Livestock,Bovine,feces; Bos taurus,2014,,,,Asia,Japan,,,,,,,PRJDB5579,DRP003877,SAMD00077400,DRS052326,B1,B1,fimH32
ESC_HA9647AA,2925,KYUSHU,Escherichia coli,,,,,,,,,17/11/17,17/11/17,ESC_HA9647AA,DRR102553;ILLUMINA;Paired;600;DRX095973,Livestock,Bovine,feces; Bos taurus,2015,,,,Europe,Belgium,,,,,,,PRJDB5579,DRP003877,SAMD00076961,DRS051887,B1,,fimH53
ESC_HA9653AA,2494,KYUSHU,Escherichia coli,,,,,,,,,17/11/17,17/11/17,ESC_HA9653AA,DRR102547;ILLUMINA;Paired;600;DRX095967,Livestock,Bovine,feces; Bos taurus,2015,,,,Europe,Belgium,,,,,,,PRJDB5579,DRP003877,SAMD00076955,DRS051881,B1,,fimH32
ESC_HA9721AA,FSIS11705728,"United States Department of Agriculture, Food Safety and Inspection Service",Escherichia coli,,,,,,,,,22/11/17,21/11/17,ESC_HA9721AA,SRR6314306;ILLUMINA;Paired;500;SRX3414239,Livestock,Swine,animal-swine-market swine,2017,,,,North America,United States,Minnesota,,,,,,PRJNA292667,SRP066916,SAMN08051580,SRS2707231,B1,B1,fimH27
ESC_IA0968AA,A1_014_BaldEagle,USGS,Escherichia coli,,,,,,,2016-6,,15/12/17,14/12/17,ESC_IA0968AA,SRR6376579;ILLUMINA;Paired;;SRX3471390,Wild Animal,Avian,"Feces, Gull (Larus spp.)",2016,6,,,North America,United States,Alaska,Kenai Peninsula Borough,Soldotna,,60.44,-151.1,PRJNA421990,SRP126755,SAMN08162481,SRS2758038,B1,B1,fimH1225
ESC_IA0969AA,A1_016_BaldEagle,USGS,Escherichia coli,,,,,,,2016-6,,15/12/17,14/12/17,ESC_IA0969AA,SRR6376580;ILLUMINA;Paired;;SRX3471389,Wild Animal,Avian,"Feces, Bald Eagle (Haliaeetus leucocephalus)",2016,6,,,North America,United States,Alaska,Kenai Peninsula Borough,Soldotna,,60.44,-151.1,PRJNA421990,SRP126755,SAMN08162482,SRS2758030,B1,,fimH32
ESC_IA0971AA,A1_018_BaldEagle,USGS,Escherichia coli,,,,,,,2016-6,,15/12/17,14/12/17,ESC_IA0971AA,SRR6376582;ILLUMINA;Paired;;SRX3471387,Wild Animal,Avian,"Feces, Bald Eagle (Haliaeetus leucocephalus)",2016,6,,,North America,United States,Alaska,Kenai Peninsula Borough,Soldotna,,60.44,-151.1,PRJNA421990,SRP126755,SAMN08162484,SRS2758032,B1,,fimH1225
ESC_IA0975AA,A1_005_Gull,USGS,Escherichia coli,,,,,,,2016-6,,15/12/17,14/12/17,ESC_IA0975AA,SRR6376586;ILLUMINA;Paired;;SRX3471383,Wild Animal,Avian,"Feces, Gull (Larus spp.)",2016,6,,,North America,United States,Alaska,Kenai Peninsula Borough,Soldotna,,60.44,-151.1,PRJNA421990,SRP126755,SAMN08162472,SRS2758031,B1,,fimH32
ESC_IA0982AA,A1_004_Gull,USGS,Escherichia coli,,,,,,,2016-6,,15/12/17,14/12/17,ESC_IA0982AA,SRR6376593;ILLUMINA;Paired;;SRX3471376,Wild Animal,Avian,"Feces, Gull (Larus spp.)",2016,6,,,North America,United States,Alaska,Kenai Peninsula Borough,Soldotna,,60.44,-151.1,PRJNA421990,SRP126755,SAMN08162471,SRS2758024,B1,B1,fimH1225
ESC_IA0984AA,A1_028_BaldEagle,USGS,Escherichia coli,,,,,,,2016-6,,15/12/17,14/12/17,ESC_IA0984AA,SRR6376595;ILLUMINA;Paired;;SRX3471374,Wild Animal,Avian,"Feces, Bald Eagle (Haliaeetus leucocephalus)",2016,6,,,North America,United States,Alaska,Kenai Peninsula Borough,Soldotna,,60.44,-151.1,PRJNA421990,SRP126755,SAMN08162492,SRS2758020,B1,B1,fimH1225
ESC_IA0985AA,A1_025_BaldEagle,USGS,Escherichia coli,,,,,,,2016-6,,15/12/17,14/12/17,ESC_IA0985AA,SRR6376596;ILLUMINA;Paired;;SRX3471373,Wild Animal,Avian,"Feces, Bald Eagle (Haliaeetus leucocephalus)",2016,6,,,North America,United States,Alaska,Kenai Peninsula Borough,Soldotna,,60.44,-151.1,PRJNA421990,SRP126755,SAMN08162489,SRS2758018,B1,,fimH1225
ESC_IA0987AA,A1_027_BaldEagle,USGS,Escherichia coli,,,,,,,2016-6,,15/12/17,14/12/17,ESC_IA0987AA,SRR6376598;ILLUMINA;Paired;;SRX3471371,Wild Animal,Avian,"Feces, Bald Eagle (Haliaeetus leucocephalus)",2016,6,,,North America,United States,Alaska,Kenai Peninsula Borough,Soldotna,,60.44,-151.1,PRJNA421990,SRP126755,SAMN08162491,SRS2758019,B1,,fimH1225
ESC_IA1066AA,FSIS11706107,"United States Department of Agriculture, Food Safety and Inspection Service",Escherichia coli,,,,,,,,,15/12/17,13/12/17,ESC_IA1066AA,SRR6373495;ILLUMINA;Paired;500;SRX3468342,Livestock,Bovine,animal-cattle-heifer,2017,,,,North America,United States,Kansas,,,,,,PRJNA292667,SRP066916,SAMN08167633,SRS2756038,B1,B1,fimH30
ESC_IA1069AA,FSIS11705877,"United States Department of Agriculture, Food Safety and Inspection Service",Escherichia coli,,,,,,,,,15/12/17,13/12/17,ESC_IA1069AA,SRR6373478;ILLUMINA;Paired;500;SRX3468325,Livestock,Swine,animal-swine-market swine,2017,,,,North America,United States,Michigan,,,,,,PRJNA292667,SRP066916,SAMN08167608,SRS2756031,B1,,fimH27
ESC_IA1081AA,FSIS11706106,"United States Department of Agriculture, Food Safety and Inspection Service",Escherichia coli,,,,,,,,,15/12/17,13/12/17,ESC_IA1081AA,SRR6372968;ILLUMINA;Paired;500;SRX3468005,Livestock,Bovine,animal-cattle-steer,2017,,,,North America,United States,Nebraska,,,,,,PRJNA292667,SRP066916,SAMN08167632,SRS2755716,B1,B1,fimH27
ESC_IA1572AA,FSIS11706357,"United States Department of Agriculture, Food Safety and Inspection Service",Escherichia coli,,,,,,,,,22/12/17,22/12/17,ESC_IA1572AA,SRR6412375;ILLUMINA;Paired;500;SRX3505390,Livestock,Swine,animal-swine-market swine,2017,,,,North America,United States,Iowa,,,,,,PRJNA292667,SRP066916,SAMN08226270,SRS2782944,B1,,fimH32
ESC_IA1584AA,MOD1-EC6324,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,O110:H4,,,,,,,22/12/17,22/12/17,ESC_IA1584AA,SRR6412356;ILLUMINA;Paired;500;SRX3505371,Poultry,Avian,feces; Meleagris,1987,7,,,North America,United States,Iowa,,,,,,PRJNA230969,SRP058582,SAMN05464565,SRS2782926,B1,,fimH54
ESC_IA1636AA,RF2C,University College Dublin,Escherichia coli,,,,,,,,,22/12/17,21/12/17,ESC_IA1636AA,SRR6409915;ILLUMINA;Paired;;SRX3503034,Livestock,Swine,pig; feces,2017,,,,Europe,Ireland,,,,,,,PRJNA427141,SRP127336,SAMN08224465,SRS2780672,B1,,fimH32
ESC_IA1766AA,MOD1-EC6245,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,O102:H6,,,,,,,28/12/17,28/12/17,ESC_IA1766AA,SRR6427137;ILLUMINA;Paired;500;SRX3519375,Companion Animal,Swine,pleural cavity,1983,2,,,North America,United States,Pennsylvania,,,,,,PRJNA230969,SRP058582,SAMN04893472,SRS2796264,B1,B1,fimH32
ESC_IA1769AA,FSIS11706362,"United States Department of Agriculture, Food Safety and Inspection Service",Escherichia coli,,,,,,,,,29/12/17,28/12/17,ESC_IA1769AA,SRR6426901;ILLUMINA;Paired;500;SRX3519143,Poultry,Avian,Animal-Turkey-Young Turkey,2017,,,,North America,United States,Michigan,,,,,,PRJNA292667,SRP066916,SAMN08272741,SRS2796080,B1,,fimH32
ESC_IA1804AA,MOD1-EC5243,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,,,,,,,,31/12/17,29/12/17,ESC_IA1804AA,SRR6427410;ILLUMINA;Paired;500;SRX3519644,Wild Animal,Avian,"Feces-Antelope, Topi; Damaliscus lunatus jimela",2000,7,,,North America,United States,California,,,,,,PRJNA230969,SRP058582,SAMN08273758,SRS2799529,B1,B1,fimH27
ESC_IA1833AA,FSIS11706548,"United States Department of Agriculture, Food Safety and Inspection Service",Escherichia coli,,,,,,,,,4/1/18,3/1/18,ESC_IA1833AA,SRR6438329;ILLUMINA;Paired;500;SRX3529704,Livestock,Swine,animal-swine-market swine,2017,,,,North America,United States,Indiana,,,,,,PRJNA292667,SRP066916,SAMN08289312,SRS2805250,B1,,fimH32
ESC_IA1835AA,FSIS11706554,"United States Department of Agriculture, Food Safety and Inspection Service",Escherichia coli,,,,,,,,,4/1/18,3/1/18,ESC_IA1835AA,SRR6438327;ILLUMINA;Paired;500;SRX3529702,Livestock,Bovine,animal-cattle-steer,2017,,,,North America,United States,Michigan,,,,,,PRJNA292667,SRP066916,SAMN08289297,SRS2805249,B1,B1,fimH32
ESC_IA1881AA,MOD1-EC5811,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,O175:H21,,,,,,,4/1/18,4/1/18,ESC_IA1881AA,SRR6441236;ILLUMINA;Paired;500;SRX3532560,Livestock,Swine,porcine pleural cavity,1983,2,,,North America,United States,Pennsylvania,,,,,,PRJNA230969,SRP058582,SAMN05464494,SRS2808013,B1,B1,fimH54
ESC_IA1884AA,MOD1-EC5799,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,,,,,,,,4/1/18,4/1/18,ESC_IA1884AA,SRR6441170;ILLUMINA;Paired;500;SRX3532526,Companion Animal,Swine,pleural cavity,1983,2,,,North America,United States,Pennsylvania,,,,,,PRJNA230969,SRP058582,SAMN05464497,SRS2807979,B1,B1,fimH31
ESC_IA1889AA,MOD1-EC5980,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,,,,,,,,4/1/18,4/1/18,ESC_IA1889AA,SRR6441144;ILLUMINA;Paired;500;SRX3532500,Companion Animal,Swine,pleural cavity,1983,2,,,North America,United States,Pennsylvania,,,,,,PRJNA230969,SRP058582,SAMN05464545,SRS2807953,B1,B1,fimH32
ESC_IA2662AA,FSIS11807024,"United States Department of Agriculture, Food Safety and Inspection Service",Escherichia coli,,,,,,,,,24/1/18,24/1/18,ESC_IA2662AA,SRR6505050;ILLUMINA;Paired;500;SRX3593657,Livestock,Bovine,animal-cattle-steer,2017,,,,North America,United States,Michigan,,,,,,PRJNA292667,SRP066916,SAMN08387158,SRS2861262,B1,,Unknown
ESC_IA2666AA,FSIS11807031,"United States Department of Agriculture, Food Safety and Inspection Service",Escherichia coli,,,,,,,,,24/1/18,24/1/18,ESC_IA2666AA,SRR6505046;ILLUMINA;Paired;500;SRX3593653,Livestock,Bovine,animal-cattle-steer,2017,,,,North America,United States,Wisconsin,,,,,,PRJNA292667,SRP066916,SAMN08387165,SRS2861258,B1,B1,fimH32
ESC_IA2671AA,FSIS11807033,"United States Department of Agriculture, Food Safety and Inspection Service",Escherichia coli,,,,,,,,,24/1/18,24/1/18,ESC_IA2671AA,SRR6505023;ILLUMINA;Paired;500;SRX3593630,Livestock,Bovine,animal-cattle-dairy cow,2017,,,,North America,United States,Texas,,,,,,PRJNA292667,SRP066916,SAMN08387167,SRS2861239,B1,,fimH24
ESC_IA2678AA,FSIS11706856,"United States Department of Agriculture, Food Safety and Inspection Service",Escherichia coli,,,,,,,,,24/1/18,24/1/18,ESC_IA2678AA,SRR6497963;ILLUMINA;Paired;500;SRX3586919,Poultry,Avian,Animal-Turkey-Young Turkey,2017,,,,North America,United States,Virginia,,,,,,PRJNA292667,SRP066916,SAMN08380139,SRS2855447,B1,,fimH27
ESC_IA2681AA,FSIS11706858,"United States Department of Agriculture, Food Safety and Inspection Service",Escherichia coli,,,,,,,,,24/1/18,24/1/18,ESC_IA2681AA,SRR6497954;ILLUMINA;Paired;500;SRX3586914,Poultry,Avian,Animal-Turkey-Young Turkey,2017,,,,North America,United States,North Carolina,,,,,,PRJNA292667,SRP066916,SAMN08380141,SRS2855444,B1,B1,fimH27
ESC_IA3525AA,NC_LB-4960,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,,,,,,,,8/2/18,7/2/18,ESC_IA3525AA,SRR6683918;ILLUMINA;Paired;500;SRX3660160,Poultry,Avian,Turkey Intestine,2017,9,,,North America,United States,North Carolina,,,,,,PRJNA293225,SRP103093,SAMN08146178,SRS2923991,B1,B1,fimH31
ESC_IA3547AA,FSIS11807429,"United States Department of Agriculture, Food Safety and Inspection Service",Escherichia coli,,,,,,,,,8/2/18,7/2/18,ESC_IA3547AA,SRR6681176;ILLUMINA;Paired;500;SRX3657482,Livestock,Bovine,animal-cattle-heifer,2018,,,,North America,United States,Texas,,,,,,PRJNA292667,SRP066916,SAMN08472604,SRS2921330,B1,B1,fimH24
ESC_IA3557AA,FSIS11807427,"United States Department of Agriculture, Food Safety and Inspection Service",Escherichia coli,,,,,,,,,8/2/18,7/2/18,ESC_IA3557AA,SRR6681083;ILLUMINA;Paired;500;SRX3657389,Livestock,Swine,animal-swine-sow,2018,,,,North America,United States,Iowa,,,,,,PRJNA292667,SRP066916,SAMN08472602,SRS2921277,B1,B1,fimH27
ESC_IA3623AA,BWH69,The Broad Institute,Escherichia coli,,,,,,,,,9/2/18,9/2/18,ESC_IA3623AA,"SRR6701906;ILLUMINA;Paired;;SRX3676085,SRR9214059;OXFORD_NANOPORE;Single;;SRX5984771",Human,Human,Homo sapiens; Blood,2015,,,,North America,United States,Massachusetts,Suffolk County,Boston,,,,PRJNA271899,SRP051949,SAMN04521876,SRS2937157,B1,,fimH31
ESC_IA3807AA,FSIS11807585,"United States Department of Agriculture, Food Safety and Inspection Service",Escherichia coli,,,,,,,,,13/2/18,12/2/18,ESC_IA3807AA,SRR6713463;ILLUMINA;Paired;500;SRX3686903,Livestock,Bovine,animal-cattle-steer,2018,,,,North America,United States,Nebraska,,,,,,PRJNA292667,SRP066916,SAMN08522371,SRS2946931,B1,,fimH121
ESC_IA3812AA,FSIS11807580,"United States Department of Agriculture, Food Safety and Inspection Service",Escherichia coli,,,,,,,,,13/2/18,12/2/18,ESC_IA3812AA,SRR6713428;ILLUMINA;Paired;500;SRX3686868,Poultry,Avian,Animal-Turkey-Young Turkey,2018,,,,North America,United States,Minnesota,,,,,,PRJNA292667,SRP066916,SAMN08522366,SRS2946884,B1,B1,fimH27
ESC_IA3815AA,FSIS11807577,"United States Department of Agriculture, Food Safety and Inspection Service",Escherichia coli,,,,,,,,,13/2/18,12/2/18,ESC_IA3815AA,SRR6713394;ILLUMINA;Paired;500;SRX3686834,Livestock,Swine,animal-swine-sow,2018,,,,North America,United States,Michigan,,,,,,PRJNA292667,SRP066916,SAMN08522363,SRS2946850,B1,B1,fimH32
ESC_IA3983AA,MOD1-EC6462,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,Ox09:H4,,,,,,,15/2/18,14/2/18,ESC_IA3983AA,SRR6726710;ILLUMINA;Paired;500;SRX3699725,Wild Animal,Avian,avian; bone marrow,1988,6,,,North America,United States,Alaska,,,,,,PRJNA230969,SRP058582,SAMN04993081,SRS2959199,B1,B1,fimH54
ESC_IA4012AA,RL91,ROBERT KOCH-INSTITUTE,Escherichia coli,,,,,,,,,17/2/18,16/2/18,ESC_IA4012AA,ERR2206024;ILLUMINA;Paired;407;ERX2260386,Poultry,Unspecified Meat,Meat; chicken drumstick,2012,,,,Europe,Germany,,,,,,,PRJEB23663,ERP105430,SAMEA104407616,ERS2025558,B1,B1,fimH32
ESC_IA4013AA,RL89,ROBERT KOCH-INSTITUTE,Escherichia coli,,,,,,,,,17/2/18,16/2/18,ESC_IA4013AA,ERR2206023;ILLUMINA;Paired;410;ERX2260385,Poultry,Avian,Meat; chicken breast,2012,,,,Europe,Germany,,,,,,,PRJEB23663,ERP105430,SAMEA104407615,ERS2025557,B1,,fimH32
ESC_IA4038AA,RL226,ROBERT KOCH-INSTITUTE,Escherichia coli,,,,,,,,,17/2/18,16/2/18,ESC_IA4038AA,ERR2205998;ILLUMINA;Paired;402;ERX2260360,Poultry,Unspecified Meat,Meat; chicken drumstick,2012,,,,Europe,Germany,,,,,,,PRJEB23663,ERP105430,SAMEA104407590,ERS2025532,B1,B1,fimH32
ESC_IA4039AA,RL225,ROBERT KOCH-INSTITUTE,Escherichia coli,,,,,,,,,17/2/18,16/2/18,ESC_IA4039AA,ERR2205997;ILLUMINA;Paired;411;ERX2260359,Poultry,Unspecified Meat,Meat; chicken wings,2012,,,,Europe,Germany,,,,,,,PRJEB23663,ERP105430,SAMEA104407589,ERS2025531,B1,,fimH32
ESC_IA4064AA,721-15,ROBERT KOCH-INSTITUTE,Escherichia coli,,,,,,,,,17/2/18,16/2/18,ESC_IA4064AA,ERR2205972;ILLUMINA;Paired;182;ERX2260334,Human,Human,Homo sapiens; rectal swab,2014,,,,Europe,Germany,,,,,,,PRJEB23663,ERP105430,SAMEA104407564,ERS2025506,B1,B1,fimH34
ESC_IA4069AA,689-15,ROBERT KOCH-INSTITUTE,Escherichia coli,,,,,,,,,17/2/18,16/2/18,ESC_IA4069AA,ERR2205967;ILLUMINA;Paired;215;ERX2260329,Human,Human,Homo sapiens; not provided,2013,,,,Europe,Germany,,,,,,,PRJEB23663,ERP105430,SAMEA104407559,ERS2025501,B1,B1,fimH27
ESC_IA4123AA,47-16,ROBERT KOCH-INSTITUTE,Escherichia coli,,,,,,,,,17/2/18,16/2/18,ESC_IA4123AA,ERR2205913;ILLUMINA;Paired;124;ERX2260275,Poultry,Unspecified Meat,Meat; chicken drumstick,2012,,,,Europe,Germany,,,,,,,PRJEB23663,ERP105430,SAMEA104407505,ERS2025447,B1,B1,fimH32
ESC_IA4408AA,FSIS11807588,"United States Department of Agriculture, Food Safety and Inspection Service",Escherichia coli,,,,,,,,,23/2/18,22/2/18,ESC_IA4408AA,SRR6764213;ILLUMINA;Paired;500;SRX3735418,Livestock,Swine,animal-swine-market swine,2018,,,,North America,United States,Kentucky,,,,,,PRJNA292667,SRP066916,SAMN08581897,SRS2992334,B1,B1,fimH32
ESC_IA4428AA,CFSAN066340,FDA/CFSAN,Escherichia coli,,,,,,,,,23/2/18,22/2/18,ESC_IA4428AA,SRR6764074;ILLUMINA;Paired;;SRX3735340,Livestock,Bovine,Bos taurus; cattle stool,2016,,,,South America,Chile,,,,,,,PRJNA230969,SRP058582,SAMN07446271,SRS2992254,B1,,fimH32
ESC_IA4439AA,CFSAN066372,FDA/CFSAN,Escherichia coli,,,,,,,,,23/2/18,22/2/18,ESC_IA4439AA,SRR6764085;ILLUMINA;Paired;;SRX3735329,Livestock,Bovine,Bos taurus; cattle stool,2016,,,,South America,Chile,,,,,,,PRJNA230969,SRP058582,SAMN07446228,SRS2992243,B1,,fimH32
ESC_IA4440AA,CFSAN066371,FDA/CFSAN,Escherichia coli,,,,,,,,,23/2/18,22/2/18,ESC_IA4440AA,SRR6764086;ILLUMINA;Paired;;SRX3735328,Livestock,Bovine,Bos taurus; cattle stool,2016,,,,South America,Chile,,,,,,,PRJNA230969,SRP058582,SAMN07446229,SRS2992242,B1,B1,fimH32
ESC_IA4459AA,CFSAN066391,FDA/CFSAN,Escherichia coli,,,,,,,,,23/2/18,22/2/18,ESC_IA4459AA,SRR6764105;ILLUMINA;Paired;;SRX3735309,Livestock,Bovine,Bos taurus; cattle stool,2016,,,,South America,Chile,,,,,,,PRJNA230969,SRP058582,SAMN07444444,SRS2992223,B1,B1,fimH32
ESC_IA4482AA,CFSAN066376,FDA/CFSAN,Escherichia coli,,,,,,,,,23/2/18,22/2/18,ESC_IA4482AA,SRR6764128;ILLUMINA;Paired;;SRX3735286,Livestock,Bovine,Bos taurus; cattle stool,2016,,,,South America,Chile,,,,,,,PRJNA230969,SRP058582,SAMN07446224,SRS2992202,B1,B1,fimH32
ESC_IA4496AA,CFSAN066396,FDA/CFSAN,Escherichia coli,,,,,,,,,23/2/18,22/2/18,ESC_IA4496AA,SRR6764142;ILLUMINA;Paired;;SRX3735272,Livestock,Bovine,Ground Beef,2016,,,,South America,Chile,,,,,,,PRJNA230969,SRP058582,SAMN07444439,SRS2992187,B1,B1,fimH32
ESC_IA4710AA,MOD1-EC5409,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,,,,,,,,28/2/18,27/2/18,ESC_IA4710AA,SRR6787576;ILLUMINA;Paired;500;SRX3746856,Livestock,Bovine,Feces-Bovine (Bos taurus),2006,3,,,North America,United States,Pennsylvania,,,,,,PRJNA230969,SRP058582,SAMN08611147,SRS3003268,B1,B1,fimH32
ESC_IA4944AA,FSIS11807948,"United States Department of Agriculture, Food Safety and Inspection Service",Escherichia coli,,,,,,,,,7/3/18,6/3/18,ESC_IA4944AA,SRR6810047;ILLUMINA;Paired;500;SRX3768259,Livestock,Swine,animal-swine-market swine,2018,,,,North America,United States,Illinois,,,,,,PRJNA292667,SRP066916,SAMN08631254,SRS3022777,B1,B1,fimH27
ESC_IA5157AA,36_Esco_HA-NL,University Medical Center Groningen,Escherichia coli,,,,,,,,,9/3/18,8/3/18,ESC_IA5157AA,SRR6818532;ILLUMINA;Paired;;SRX3775515,Human,Human,rectal swab; Homo sapiens,2013,,,,Europe,Netherlands,,,,,,,PRJNA352198,SRP134171,SAMN05977362,SRS3029744,B1,B1,fimH27
ESC_IA5185AA,16_Esco_HA-NL,University Medical Center Groningen,Escherichia coli,,,,,,,,,9/3/18,8/3/18,ESC_IA5185AA,SRR6818568;ILLUMINA;Paired;;SRX3775479,Human,Human,rectal swab; Homo sapiens,2012,,,,Europe,Netherlands,,,,,,,PRJNA352198,SRP134171,SAMN05977336,SRS3029708,B1,B1,fimH54
ESC_IA5583AA,FSIS11807740,"United States Department of Agriculture, Food Safety and Inspection Service",Escherichia coli,,,,,,,,,16/3/18,15/3/18,ESC_IA5583AA,SRR6844253;ILLUMINA;Paired;500;SRX3799690,Livestock,Bovine,animal-cattle-beef cow,2018,,,,North America,United States,Minnesota,,,,,,PRJNA292667,SRP066916,SAMN08719145,SRS3051686,B1,B1,fimH32
ESC_IA5588AA,FSIS11808330,"United States Department of Agriculture, Food Safety and Inspection Service",Escherichia coli,,,,,,,,,16/3/18,15/3/18,ESC_IA5588AA,SRR6844212;ILLUMINA;Paired;500;SRX3799649,Livestock,Swine,animal-swine-market swine,2018,,,,North America,United States,California,,,,,,PRJNA292667,SRP066916,SAMN08719216,SRS3051656,  ,,
ESC_IA5707AA,FSIS11808339,"United States Department of Agriculture, Food Safety and Inspection Service",Escherichia coli,,,,,,,,,27/3/18,21/3/18,ESC_IA5707AA,SRR6876312;ILLUMINA;Paired;500;SRX3829366,Poultry,Avian,Animal-Turkey-Young Turkey,2018,,,,North America,United States,South Carolina,,,,,,PRJNA292667,SRP066916,SAMN08767334,SRS3077588,B1,,fimH27
ESC_IA5708AA,FSIS11808338,"United States Department of Agriculture, Food Safety and Inspection Service",Escherichia coli,,,,,,,,,27/3/18,21/3/18,ESC_IA5708AA,SRR6876311;ILLUMINA;Paired;500;SRX3829365,Livestock,Swine,animal-swine-market swine,2018,,,,North America,United States,Michigan,,,,,,PRJNA292667,SRP066916,SAMN08767333,SRS3077585,B1,B1,fimH32
ESC_IA6327AA,PSU-0496,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,,,,,,,,3/4/18,3/4/18,ESC_IA6327AA,SRR6930653;ILLUMINA;Paired;500;SRX3876092,Livestock,Equine,Horse (Equine),2000,,,,North America,United States,Pennsylvania,,,,,,PRJNA357722,SRP101500,SAMN08367946,SRS3116207,B1,,fimH32
ESC_IA6337AA,FSIS11808269,"United States Department of Agriculture, Food Safety and Inspection Service",Escherichia coli,,,,,,,,,4/4/18,3/4/18,ESC_IA6337AA,SRR6933174;ILLUMINA;Paired;500;SRX3878380,Livestock,Swine,animal-swine-market swine,2018,,,,North America,United States,Iowa,,,,,,PRJNA292667,SRP066916,SAMN08851681,SRS3118387,B1,,fimH366
ESC_IA6613AA,FSIS11808981,"United States Department of Agriculture, Food Safety and Inspection Service",Escherichia coli,,,,,,,,,12/4/18,9/4/18,ESC_IA6613AA,SRR6973073;ILLUMINA;Paired;500;SRX3914918,Livestock,Bovine,animal-cattle-beef cow,2018,,,,North America,United States,North Carolina,,,,,,PRJNA292667,SRP066916,SAMN08899179,SRS3150565,B1,B1,fimH24
ESC_IA6616AA,FSIS11808972,"United States Department of Agriculture, Food Safety and Inspection Service",Escherichia coli,,,,,,,,,12/4/18,9/4/18,ESC_IA6616AA,SRR6973045;ILLUMINA;Paired;500;SRX3914893,Livestock,Bovine,animal-cattle-dairy cow,2018,,,,North America,United States,Wisconsin,,,,,,PRJNA292667,SRP066916,SAMN08899174,SRS3150544,B1,,fimH32
ESC_IA6636AA,FSIS11808837,"United States Department of Agriculture, Food Safety and Inspection Service",Escherichia coli,,,,,,,,,12/4/18,12/4/18,ESC_IA6636AA,SRR6986355;ILLUMINA;Paired;500;SRX3926093,Livestock,Bovine,animal-cattle-steer,2018,,,,North America,United States,Texas,,,,,,PRJNA292667,SRP066916,SAMN08909986,SRS3160062,B1,,fimH27
ESC_IA6724AA,FSIS11809112,"United States Department of Agriculture, Food Safety and Inspection Service",Escherichia coli,,,,,,,,,16/4/18,16/4/18,ESC_IA6724AA,SRR7009031;ILLUMINA;Paired;500;SRX3941515,Livestock,Swine,animal-swine-market swine,2018,,,,North America,United States,Illinois,,,,,,PRJNA292667,SRP066916,SAMN08930680,SRS3172220,B1,B1,fimH27
ESC_IA7303AA,PSU-0657,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,,,,,,,,26/4/18,25/4/18,ESC_IA7303AA,SRR7065404;ILLUMINA;Paired;500;SRX3996213,Livestock,Bovine,"Cow, (Bovine)",2000,,,,South America,Argentina,,,,,,,PRJNA357722,SRP101500,SAMN08978140,SRS3220374,B1,,fimH25
ESC_IA7319AA,MU2-8-20,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,,,,,,,,26/4/18,25/4/18,ESC_IA7319AA,SRR7064595;ILLUMINA;Paired;500;SRX3995404,Livestock,Bovine,cow paddock straw bedding_Bovine (dairy),2017,9,,,North America,United States,Wisconsin,,,,,,PRJNA368991,SRP101451,SAMN08963883,SRS3219566,B1,B1,fimH27
ESC_IA7607AA,FSIS11809265,"United States Department of Agriculture, Food Safety and Inspection Service",Escherichia coli,,,,,,,,,1/5/18,30/4/18,ESC_IA7607AA,SRR7084525;ILLUMINA;Paired;300;SRX4014278,Poultry,Avian,Animal-Turkey-Young Turkey,2018,,,,North America,United States,Arkansas,,,,,,PRJNA292667,SRP066916,SAMN09002909,SRS3235794,B1,B1,fimH32
