Uberstrain	Name	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Simple Disease	Comment	Disease	Date Entered	Release Date	Barcode	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Bio Project ID	Project ID	Sample ID	Secondary Sample ID	Differences	ST	HC0 (indistinguishable)	HC2	HC5	HC10	HC20	HC50	HC100	HC200	HC400	HC1100 (cgST Cplx)	HC2350 (subsp.)
ESC_IA0969AA	A1_016_BaldEagle	USGS	Escherichia coli							2016-6		15/12/17	14/12/17	ESC_IA0969AA	SRR6376580;ILLUMINA;Paired;;SRX3471389	Wild Animal	Avian	"Feces, Bald Eagle (Haliaeetus leucocephalus)"	2016	6			North America	United States	Alaska	Kenai Peninsula Borough	Soldotna		60.44	-151.1	PRJNA421990	SRP126755	SAMN08162482	SRS2758030	NaN	58384	58384	58384	58384	58384	58384	8338	1186	1186	106	106	1
ESC_IA0971AA	A1_018_BaldEagle	USGS	Escherichia coli							2016-6		15/12/17	14/12/17	ESC_IA0971AA	SRR6376582;ILLUMINA;Paired;;SRX3471387	Wild Animal	Avian	"Feces, Bald Eagle (Haliaeetus leucocephalus)"	2016	6			North America	United States	Alaska	Kenai Peninsula Borough	Soldotna		60.44	-151.1	PRJNA421990	SRP126755	SAMN08162484	SRS2758032	NaN	58347	58347	58347	58347	58347	58347	58347	58347	1060	106	106	1
ESC_IA0975AA	A1_005_Gull	USGS	Escherichia coli							2016-6		15/12/17	14/12/17	ESC_IA0975AA	SRR6376586;ILLUMINA;Paired;;SRX3471383	Wild Animal	Avian	"Feces, Gull (Larus spp.)"	2016	6			North America	United States	Alaska	Kenai Peninsula Borough	Soldotna		60.44	-151.1	PRJNA421990	SRP126755	SAMN08162472	SRS2758031	NaN	58368	58368	58368	58368	58368	55546	55546	2301	1060	106	106	1
ESC_IA0982AA	A1_004_Gull	USGS	Escherichia coli							2016-6		15/12/17	14/12/17	ESC_IA0982AA	SRR6376593;ILLUMINA;Paired;;SRX3471376	Wild Animal	Avian	"Feces, Gull (Larus spp.)"	2016	6			North America	United States	Alaska	Kenai Peninsula Borough	Soldotna		60.44	-151.1	PRJNA421990	SRP126755	SAMN08162471	SRS2758024	NaN	58382	58382	58347	58347	58347	58347	58347	58347	1060	106	106	1
ESC_IA0984AA	A1_028_BaldEagle	USGS	Escherichia coli							2016-6		15/12/17	14/12/17	ESC_IA0984AA	SRR6376595;ILLUMINA;Paired;;SRX3471374	Wild Animal	Avian	"Feces, Bald Eagle (Haliaeetus leucocephalus)"	2016	6			North America	United States	Alaska	Kenai Peninsula Borough	Soldotna		60.44	-151.1	PRJNA421990	SRP126755	SAMN08162492	SRS2758020	NaN	58347	58347	58347	58347	58347	58347	58347	58347	1060	106	106	1
ESC_IA0985AA	A1_025_BaldEagle	USGS	Escherichia coli							2016-6		15/12/17	14/12/17	ESC_IA0985AA	SRR6376596;ILLUMINA;Paired;;SRX3471373	Wild Animal	Avian	"Feces, Bald Eagle (Haliaeetus leucocephalus)"	2016	6			North America	United States	Alaska	Kenai Peninsula Borough	Soldotna		60.44	-151.1	PRJNA421990	SRP126755	SAMN08162489	SRS2758018	NaN	58374	58374	58374	58374	58374	58347	58347	58347	1060	106	106	1
ESC_IA0987AA	A1_027_BaldEagle	USGS	Escherichia coli							2016-6		15/12/17	14/12/17	ESC_IA0987AA	SRR6376598;ILLUMINA;Paired;;SRX3471371	Wild Animal	Avian	"Feces, Bald Eagle (Haliaeetus leucocephalus)"	2016	6			North America	United States	Alaska	Kenai Peninsula Borough	Soldotna		60.44	-151.1	PRJNA421990	SRP126755	SAMN08162491	SRS2758019	NaN	58347	58347	58347	58347	58347	58347	58347	58347	1060	106	106	1
ESC_IA1066AA	FSIS11706107	"United States Department of Agriculture, Food Safety and Inspection Service"	Escherichia coli									15/12/17	13/12/17	ESC_IA1066AA	SRR6373495;ILLUMINA;Paired;500;SRX3468342	Livestock	Bovine	animal-cattle-heifer	2017				North America	United States	Kansas						PRJNA292667	SRP066916	SAMN08167633	SRS2756038	NaN	58343	58343	58343	58343	58343	58343	58343	58343	58343	106	106	1
ESC_IA1069AA	FSIS11705877	"United States Department of Agriculture, Food Safety and Inspection Service"	Escherichia coli									15/12/17	13/12/17	ESC_IA1069AA	SRR6373478;ILLUMINA;Paired;500;SRX3468325	Livestock	Swine	animal-swine-market swine	2017				North America	United States	Michigan						PRJNA292667	SRP066916	SAMN08167608	SRS2756031	NaN	58321	58321	58321	58321	58321	58321	33897	1186	1186	106	106	1
ESC_IA1081AA	FSIS11706106	"United States Department of Agriculture, Food Safety and Inspection Service"	Escherichia coli									15/12/17	13/12/17	ESC_IA1081AA	SRR6372968;ILLUMINA;Paired;500;SRX3468005	Livestock	Bovine	animal-cattle-steer	2017				North America	United States	Nebraska						PRJNA292667	SRP066916	SAMN08167632	SRS2755716	NaN	58323	58323	58323	58323	58323	58323	58323	1186	1186	106	106	1
ESC_IA1572AA	FSIS11706357	"United States Department of Agriculture, Food Safety and Inspection Service"	Escherichia coli									22/12/17	22/12/17	ESC_IA1572AA	SRR6412375;ILLUMINA;Paired;500;SRX3505390	Livestock	Swine	animal-swine-market swine	2017				North America	United States	Iowa						PRJNA292667	SRP066916	SAMN08226270	SRS2782944	NaN	59014	59014	59014	59014	59014	9048	9048	9048	3838	106	106	1
ESC_IA1584AA	MOD1-EC6324	FDA Center for Food Safety and Applied Nutrition	Escherichia coli		O110:H4							22/12/17	22/12/17	ESC_IA1584AA	SRR6412356;ILLUMINA;Paired;500;SRX3505371	Poultry	Avian	feces; Meleagris	1987	7			North America	United States	Iowa						PRJNA230969	SRP058582	SAMN05464565	SRS2782926	NaN	58998	58998	58998	58998	58998	58998	58998	13277	13277	106	106	1
ESC_IA1636AA	RF2C	University College Dublin	Escherichia coli									22/12/17	21/12/17	ESC_IA1636AA	SRR6409915;ILLUMINA;Paired;;SRX3503034	Livestock	Swine	pig; feces	2017				Europe	Ireland							PRJNA427141	SRP127336	SAMN08224465	SRS2780672	NaN	103490	103490	103490	103490	103490	103490	103490	1186	1186	106	106	1
ESC_IA1766AA	MOD1-EC6245	FDA Center for Food Safety and Applied Nutrition	Escherichia coli		O102:H6							28/12/17	28/12/17	ESC_IA1766AA	SRR6427137;ILLUMINA;Paired;500;SRX3519375	Companion Animal	Swine	pleural cavity	1983	2			North America	United States	Pennsylvania						PRJNA230969	SRP058582	SAMN04893472	SRS2796264	NaN	59124	59124	59124	59124	59124	59124	59124	55542	55542	106	106	1
ESC_IA1769AA	FSIS11706362	"United States Department of Agriculture, Food Safety and Inspection Service"	Escherichia coli									29/12/17	28/12/17	ESC_IA1769AA	SRR6426901;ILLUMINA;Paired;500;SRX3519143	Poultry	Avian	Animal-Turkey-Young Turkey	2017				North America	United States	Michigan						PRJNA292667	SRP066916	SAMN08272741	SRS2796080	NaN	59139	59139	59139	59139	59139	59139	9950	1186	1186	106	106	1
ESC_IA1804AA	MOD1-EC5243	FDA Center for Food Safety and Applied Nutrition	Escherichia coli									31/12/17	29/12/17	ESC_IA1804AA	SRR6427410;ILLUMINA;Paired;500;SRX3519644	Wild Animal	Avian	"Feces-Antelope, Topi; Damaliscus lunatus jimela"	2000	7			North America	United States	California						PRJNA230969	SRP058582	SAMN08273758	SRS2799529	NaN	59148	59148	59148	59148	59148	33809	33809	1186	1186	106	106	1
ESC_IA1833AA	FSIS11706548	"United States Department of Agriculture, Food Safety and Inspection Service"	Escherichia coli									4/1/18	3/1/18	ESC_IA1833AA	SRR6438329;ILLUMINA;Paired;500;SRX3529704	Livestock	Swine	animal-swine-market swine	2017				North America	United States	Indiana						PRJNA292667	SRP066916	SAMN08289312	SRS2805250	NaN	59171	59171	59171	59171	59171	59171	59171	59171	38788	106	106	1
ESC_IA1835AA	FSIS11706554	"United States Department of Agriculture, Food Safety and Inspection Service"	Escherichia coli									4/1/18	3/1/18	ESC_IA1835AA	SRR6438327;ILLUMINA;Paired;500;SRX3529702	Livestock	Bovine	animal-cattle-steer	2017				North America	United States	Michigan						PRJNA292667	SRP066916	SAMN08289297	SRS2805249	NaN	59174	59174	59174	59174	59174	59174	27872	21910	1060	106	106	1
ESC_IA1881AA	MOD1-EC5811	FDA Center for Food Safety and Applied Nutrition	Escherichia coli		O175:H21							4/1/18	4/1/18	ESC_IA1881AA	SRR6441236;ILLUMINA;Paired;500;SRX3532560	Livestock	Swine	porcine pleural cavity	1983	2			North America	United States	Pennsylvania						PRJNA230969	SRP058582	SAMN05464494	SRS2808013	NaN	59348	59348	59348	59348	59348	59348	59348	59348	1060	106	106	1
ESC_IA1884AA	MOD1-EC5799	FDA Center for Food Safety and Applied Nutrition	Escherichia coli									4/1/18	4/1/18	ESC_IA1884AA	SRR6441170;ILLUMINA;Paired;500;SRX3532526	Companion Animal	Swine	pleural cavity	1983	2			North America	United States	Pennsylvania						PRJNA230969	SRP058582	SAMN05464497	SRS2807979	NaN	59335	59335	59335	59335	59335	59335	59335	28214	1060	106	106	1
ESC_IA1889AA	MOD1-EC5980	FDA Center for Food Safety and Applied Nutrition	Escherichia coli									4/1/18	4/1/18	ESC_IA1889AA	SRR6441144;ILLUMINA;Paired;500;SRX3532500	Companion Animal	Swine	pleural cavity	1983	2			North America	United States	Pennsylvania						PRJNA230969	SRP058582	SAMN05464545	SRS2807953	NaN	59308	59308	59308	59308	59308	59308	59308	1186	1186	106	106	1
ESC_IA2662AA	FSIS11807024	"United States Department of Agriculture, Food Safety and Inspection Service"	Escherichia coli									24/1/18	24/1/18	ESC_IA2662AA	SRR6505050;ILLUMINA;Paired;500;SRX3593657	Livestock	Bovine	animal-cattle-steer	2017				North America	United States	Michigan						PRJNA292667	SRP066916	SAMN08387158	SRS2861262	NaN	59941	59941	59941	59941	59941	59941	10888	3267	3267	106	106	1
ESC_IA2666AA	FSIS11807031	"United States Department of Agriculture, Food Safety and Inspection Service"	Escherichia coli									24/1/18	24/1/18	ESC_IA2666AA	SRR6505046;ILLUMINA;Paired;500;SRX3593653	Livestock	Bovine	animal-cattle-steer	2017				North America	United States	Wisconsin						PRJNA292667	SRP066916	SAMN08387165	SRS2861258	NaN	60155	60155	60155	60155	60155	60155	60155	1186	1186	106	106	1
ESC_IA2671AA	FSIS11807033	"United States Department of Agriculture, Food Safety and Inspection Service"	Escherichia coli									24/1/18	24/1/18	ESC_IA2671AA	SRR6505023;ILLUMINA;Paired;500;SRX3593630	Livestock	Bovine	animal-cattle-dairy cow	2017				North America	United States	Texas						PRJNA292667	SRP066916	SAMN08387167	SRS2861239	NaN	59928	59928	59928	59928	59928	59928	59928	17168	1060	106	106	1
ESC_IA2678AA	FSIS11706856	"United States Department of Agriculture, Food Safety and Inspection Service"	Escherichia coli									24/1/18	24/1/18	ESC_IA2678AA	SRR6497963;ILLUMINA;Paired;500;SRX3586919	Poultry	Avian	Animal-Turkey-Young Turkey	2017				North America	United States	Virginia						PRJNA292667	SRP066916	SAMN08380139	SRS2855447	NaN	59923	59923	59923	59923	59923	59923	59923	1186	1186	106	106	1
ESC_IA2681AA	FSIS11706858	"United States Department of Agriculture, Food Safety and Inspection Service"	Escherichia coli									24/1/18	24/1/18	ESC_IA2681AA	SRR6497954;ILLUMINA;Paired;500;SRX3586914	Poultry	Avian	Animal-Turkey-Young Turkey	2017				North America	United States	North Carolina						PRJNA292667	SRP066916	SAMN08380141	SRS2855444	NaN	59927	59927	59927	59927	59927	59927	4086	1186	1186	106	106	1
ESC_IA2744AA	DTU2016-237-PRJ1054-Escherichia-coil-2013-70-368-4_S27_L001	"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark"	Escherichia coli									26/1/18	26/1/18	ESC_IA2744AA	ERR1755554;ILLUMINA;Paired;212;ERX1822589	Feed	Animal Feed	imported food; imported food	2013				Europe	Denmark					56.2639	9.5018	PRJEB18587	ERP020529	SAMEA26143168	ERS1472972	NaN	60063	60063	60063	60063	60063	60063	9950	1186	1186	106	106	1
ESC_IA2756AA	DTU2016-225-PRJ1054-Escherichia-coil-2011-70-6-21_S15_L001	"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark"	Escherichia coli									26/1/18	26/1/18	ESC_IA2756AA	ERR1755542;ILLUMINA;Paired;190;ERX1822577	Feed	Animal Feed	imported food; imported food	2010				Europe	Denmark					56.2639	9.5018	PRJEB18587	ERP020529	SAMEA26134168	ERS1472960	NaN	60093	60093	60093	60093	60093	60093	5233	1186	1186	106	106	1
ESC_IA2762AA	DTU2016-219-PRJ1054-Escherichia-coil-2010-70-405-30_S9_L001	"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark"	Escherichia coli									26/1/18	26/1/18	ESC_IA2762AA	ERR1755536;ILLUMINA;Paired;267;ERX1822571	Feed	Animal Feed	imported food; imported food	2010				Europe	Denmark					56.2639	9.5018	PRJEB18587	ERP020529	SAMEA26129668	ERS1472954	NaN	60065	60065	60065	60065	60065	60065	5233	1186	1186	106	106	1
ESC_IA3525AA	NC_LB-4960	FDA Center for Food Safety and Applied Nutrition	Escherichia coli									8/2/18	7/2/18	ESC_IA3525AA	SRR6683918;ILLUMINA;Paired;500;SRX3660160	Poultry	Avian	Turkey Intestine	2017	9			North America	United States	North Carolina						PRJNA293225	SRP103093	SAMN08146178	SRS2923991	NaN	60707	60707	60707	60707	60707	60707	60707	60707	1060	106	106	1
ESC_IA3547AA	FSIS11807429	"United States Department of Agriculture, Food Safety and Inspection Service"	Escherichia coli									8/2/18	7/2/18	ESC_IA3547AA	SRR6681176;ILLUMINA;Paired;500;SRX3657482	Livestock	Bovine	animal-cattle-heifer	2018				North America	United States	Texas						PRJNA292667	SRP066916	SAMN08472604	SRS2921330	NaN	60557	60557	60557	60557	60557	17168	17168	17168	1060	106	106	1
ESC_IA3557AA	FSIS11807427	"United States Department of Agriculture, Food Safety and Inspection Service"	Escherichia coli									8/2/18	7/2/18	ESC_IA3557AA	SRR6681083;ILLUMINA;Paired;500;SRX3657389	Livestock	Swine	animal-swine-sow	2018				North America	United States	Iowa						PRJNA292667	SRP066916	SAMN08472602	SRS2921277	NaN	60576	60576	60576	60576	60576	60576	4086	1186	1186	106	106	1
ESC_IA3623AA	BWH69	The Broad Institute	Escherichia coli									9/2/18	9/2/18	ESC_IA3623AA	SRR6701906;ILLUMINA;Paired;;SRX3676085	Human	Human	Homo sapiens; Blood	2015				North America	United States	Massachusetts	Suffolk County	Boston				PRJNA271899	SRP051949	SAMN04521876	SRS2937157	NaN	60703	60703	60703	60703	60703	60703	60703	1186	1186	106	106	1
ESC_IA3807AA	FSIS11807585	"United States Department of Agriculture, Food Safety and Inspection Service"	Escherichia coli									13/2/18	12/2/18	ESC_IA3807AA	SRR6713463;ILLUMINA;Paired;500;SRX3686903	Livestock	Bovine	animal-cattle-steer	2018				North America	United States	Nebraska						PRJNA292667	SRP066916	SAMN08522371	SRS2946931	NaN	60832	60832	60832	60832	60832	60832	4561	4561	1060	106	106	1
ESC_IA3812AA	FSIS11807580	"United States Department of Agriculture, Food Safety and Inspection Service"	Escherichia coli									13/2/18	12/2/18	ESC_IA3812AA	SRR6713428;ILLUMINA;Paired;500;SRX3686868	Poultry	Avian	Animal-Turkey-Young Turkey	2018				North America	United States	Minnesota						PRJNA292667	SRP066916	SAMN08522366	SRS2946884	NaN	60824	60824	60824	60824	60824	60824	4086	1186	1186	106	106	1
ESC_IA3815AA	FSIS11807577	"United States Department of Agriculture, Food Safety and Inspection Service"	Escherichia coli									13/2/18	12/2/18	ESC_IA3815AA	SRR6713394;ILLUMINA;Paired;500;SRX3686834	Livestock	Swine	animal-swine-sow	2018				North America	United States	Michigan						PRJNA292667	SRP066916	SAMN08522363	SRS2946850	NaN	60828	60828	60828	60828	60828	60828	60828	1186	1186	106	106	1
ESC_IA3983AA	MOD1-EC6462	FDA Center for Food Safety and Applied Nutrition	Escherichia coli		Ox09:H4							15/2/18	14/2/18	ESC_IA3983AA	SRR6726710;ILLUMINA;Paired;500;SRX3699725	Wild Animal	Avian	avian; bone marrow	1988	6			North America	United States	Alaska						PRJNA230969	SRP058582	SAMN04993081	SRS2959199	NaN	60848	60848	60848	60848	60848	60848	60848	28587	3602	106	106	1
ESC_IA4012AA	RL91	ROBERT KOCH-INSTITUTE	Escherichia coli									17/2/18	16/2/18	ESC_IA4012AA	ERR2206024;ILLUMINA;Paired;407;ERX2260386	Poultry	Meat	Meat; chicken drumstick	2012				Europe	Germany							PRJEB23663	ERP105430	SAMEA104407616	ERS2025558	NaN	61045	61045	61045	61045	61045	60939	60939	9048	3838	106	106	1
ESC_IA4013AA	RL89	ROBERT KOCH-INSTITUTE	Escherichia coli									17/2/18	16/2/18	ESC_IA4013AA	ERR2206023;ILLUMINA;Paired;410;ERX2260385	Poultry	Avian	Meat; chicken breast	2012				Europe	Germany							PRJEB23663	ERP105430	SAMEA104407615	ERS2025557	NaN	61028	61028	61028	61028	61028	61028	60939	9048	3838	106	106	1
ESC_IA4038AA	RL226	ROBERT KOCH-INSTITUTE	Escherichia coli									17/2/18	16/2/18	ESC_IA4038AA	ERR2205998;ILLUMINA;Paired;402;ERX2260360	Poultry	Meat	Meat; chicken drumstick	2012				Europe	Germany							PRJEB23663	ERP105430	SAMEA104407590	ERS2025532	NaN	61020	61020	61020	61020	60939	60939	60939	9048	3838	106	106	1
ESC_IA4039AA	RL225	ROBERT KOCH-INSTITUTE	Escherichia coli									17/2/18	16/2/18	ESC_IA4039AA	ERR2205997;ILLUMINA;Paired;411;ERX2260359	Poultry	Meat	Meat; chicken wings	2012				Europe	Germany							PRJEB23663	ERP105430	SAMEA104407589	ERS2025531	NaN	61025	61025	61025	61025	60939	60939	60939	9048	3838	106	106	1
ESC_IA4064AA	721-15	ROBERT KOCH-INSTITUTE	Escherichia coli									17/2/18	16/2/18	ESC_IA4064AA	ERR2205972;ILLUMINA;Paired;182;ERX2260334	Human	Human	Homo sapiens; rectal swab	2014				Europe	Germany							PRJEB23663	ERP105430	SAMEA104407564	ERS2025506	NaN	60982	60982	60982	60982	60982	60982	60982	23399	23399	106	106	1
ESC_IA4069AA	689-15	ROBERT KOCH-INSTITUTE	Escherichia coli									17/2/18	16/2/18	ESC_IA4069AA	ERR2205967;ILLUMINA;Paired;215;ERX2260329	Human	Human	Homo sapiens; not provided	2013				Europe	Germany							PRJEB23663	ERP105430	SAMEA104407559	ERS2025501	NaN	60983	60983	60983	60983	60983	60983	60983	1186	1186	106	106	1
ESC_IA4123AA	47-16	ROBERT KOCH-INSTITUTE	Escherichia coli									17/2/18	16/2/18	ESC_IA4123AA	ERR2205913;ILLUMINA;Paired;124;ERX2260275	Poultry	Meat	Meat; chicken drumstick	2012				Europe	Germany							PRJEB23663	ERP105430	SAMEA104407505	ERS2025447	NaN	60939	60939	60939	60939	60939	60939	60939	9048	3838	106	106	1
ESC_IA4408AA	FSIS11807588	"United States Department of Agriculture, Food Safety and Inspection Service"	Escherichia coli									23/2/18	22/2/18	ESC_IA4408AA	SRR6764213;ILLUMINA;Paired;500;SRX3735418	Livestock	Swine	animal-swine-market swine	2018				North America	United States	Kentucky						PRJNA292667	SRP066916	SAMN08581897	SRS2992334	NaN	80537	61401	61401	61401	61401	61401	61401	9758	1060	106	106	1
ESC_IA4428AA	CFSAN066340	FDA/CFSAN	Escherichia coli									23/2/18	22/2/18	ESC_IA4428AA	SRR6764074;ILLUMINA;Paired;;SRX3735340	Livestock	Bovine	Bos taurus; cattle stool	2016				South America	Chile							PRJNA230969	SRP058582	SAMN07446271	SRS2992254	NaN	78979	78979	78979	78979	61436	61436	61436	61233	61212	106	106	1
ESC_IA4439AA	CFSAN066372	FDA/CFSAN	Escherichia coli									23/2/18	22/2/18	ESC_IA4439AA	SRR6764085;ILLUMINA;Paired;;SRX3735329	Livestock	Bovine	Bos taurus; cattle stool	2016				South America	Chile							PRJNA230969	SRP058582	SAMN07446228	SRS2992243	NaN	77471	61435	61435	61435	61223	61223	61223	61223	61212	106	106	1
ESC_IA4440AA	CFSAN066371	FDA/CFSAN	Escherichia coli									23/2/18	22/2/18	ESC_IA4440AA	SRR6764086;ILLUMINA;Paired;;SRX3735328	Livestock	Bovine	Bos taurus; cattle stool	2016				South America	Chile							PRJNA230969	SRP058582	SAMN07446229	SRS2992242	NaN	76707	76707	61435	61435	61223	61223	61223	61223	61212	106	106	1
ESC_IA4459AA	CFSAN066391	FDA/CFSAN	Escherichia coli									23/2/18	22/2/18	ESC_IA4459AA	SRR6764105;ILLUMINA;Paired;;SRX3735309	Livestock	Bovine	Bos taurus; cattle stool	2016				South America	Chile							PRJNA230969	SRP058582	SAMN07444444	SRS2992223	NaN	61233	61233	61233	61233	61233	61233	61233	61233	61212	106	106	1
ESC_IA4482AA	CFSAN066376	FDA/CFSAN	Escherichia coli									23/2/18	22/2/18	ESC_IA4482AA	SRR6764128;ILLUMINA;Paired;;SRX3735286	Livestock	Bovine	Bos taurus; cattle stool	2016				South America	Chile							PRJNA230969	SRP058582	SAMN07446224	SRS2992202	NaN	61223	61223	61223	61223	61223	61223	61223	61223	61212	106	106	1
ESC_IA4496AA	CFSAN066396	FDA/CFSAN	Escherichia coli									23/2/18	22/2/18	ESC_IA4496AA	SRR6764142;ILLUMINA;Paired;;SRX3735272	Livestock	Bovine	Ground Beef	2016				South America	Chile							PRJNA230969	SRP058582	SAMN07444439	SRS2992187	NaN	61212	61212	61212	61212	61212	61212	61212	61212	61212	106	106	1
ESC_IA4710AA	MOD1-EC5409	FDA Center for Food Safety and Applied Nutrition	Escherichia coli									28/2/18	27/2/18	ESC_IA4710AA	SRR6787576;ILLUMINA;Paired;500;SRX3746856	Livestock	Bovine	Feces-Bovine (Bos taurus)	2006	3			North America	United States	Pennsylvania						PRJNA230969	SRP058582	SAMN08611147	SRS3003268	NaN	61468	61468	61468	61468	61468	61468	61468	61468	1060	106	106	1
ESC_IA4944AA	FSIS11807948	"United States Department of Agriculture, Food Safety and Inspection Service"	Escherichia coli									7/3/18	6/3/18	ESC_IA4944AA	SRR6810047;ILLUMINA;Paired;500;SRX3768259	Livestock	Swine	animal-swine-market swine	2018				North America	United States	Illinois						PRJNA292667	SRP066916	SAMN08631254	SRS3022777	NaN	76720	76720	76720	76720	76720	5233	5233	1186	1186	106	106	1
ESC_IA5157AA	36_Esco_HA-NL	University Medical Center Groningen	Escherichia coli									9/3/18	8/3/18	ESC_IA5157AA	SRR6818532;ILLUMINA;Paired;;SRX3775515	Human	Human	rectal swab; Homo sapiens	2013				Europe	Netherlands							PRJNA352198	SRP134171	SAMN05977362	SRS3029744	NaN	76762	76762	76762	76762	76762	76762	5233	1186	1186	106	106	1
ESC_IA5185AA	16_Esco_HA-NL	University Medical Center Groningen	Escherichia coli									9/3/18	8/3/18	ESC_IA5185AA	SRR6818568;ILLUMINA;Paired;;SRX3775479	Human	Human	rectal swab; Homo sapiens	2012				Europe	Netherlands							PRJNA352198	SRP134171	SAMN05977336	SRS3029708	NaN	80562	76752	76752	76752	76752	76752	76752	76752	1060	106	106	1
ESC_IA5583AA	FSIS11807740	"United States Department of Agriculture, Food Safety and Inspection Service"	Escherichia coli									16/3/18	15/3/18	ESC_IA5583AA	SRR6844253;ILLUMINA;Paired;500;SRX3799690	Livestock	Bovine	animal-cattle-beef cow	2018				North America	United States	Minnesota						PRJNA292667	SRP066916	SAMN08719145	SRS3051686	NaN	62279	62279	62279	62279	62279	62279	62279	1186	1186	106	106	1
ESC_IA5588AA	FSIS11808330	"United States Department of Agriculture, Food Safety and Inspection Service"	Escherichia coli									16/3/18	15/3/18	ESC_IA5588AA	SRR6844212;ILLUMINA;Paired;500;SRX3799649	Livestock	Swine	animal-swine-market swine	2018				North America	United States	California						PRJNA292667	SRP066916	SAMN08719216	SRS3051656	NaN	61763	61763	61763	61763	61763	61763	39300	39300	1060	106	106	1
ESC_IA5707AA	FSIS11808339	"United States Department of Agriculture, Food Safety and Inspection Service"	Escherichia coli									27/3/18	21/3/18	ESC_IA5707AA	SRR6876312;ILLUMINA;Paired;500;SRX3829366	Poultry	Avian	Animal-Turkey-Young Turkey	2018				North America	United States	South Carolina						PRJNA292667	SRP066916	SAMN08767334	SRS3077588	NaN	62036	62036	62036	62036	62036	62036	4086	1186	1186	106	106	1
ESC_IA5708AA	FSIS11808338	"United States Department of Agriculture, Food Safety and Inspection Service"	Escherichia coli									27/3/18	21/3/18	ESC_IA5708AA	SRR6876311;ILLUMINA;Paired;500;SRX3829365	Livestock	Swine	animal-swine-market swine	2018				North America	United States	Michigan						PRJNA292667	SRP066916	SAMN08767333	SRS3077585	NaN	62038	62038	62038	62038	62038	62038	9950	1186	1186	106	106	1
ESC_IA6327AA	PSU-0496	FDA Center for Food Safety and Applied Nutrition	Escherichia coli									3/4/18	3/4/18	ESC_IA6327AA	SRR6930653;ILLUMINA;Paired;500;SRX3876092	Livestock	Equine	Horse (Equine)	2000				North America	United States	Pennsylvania						PRJNA357722	SRP101500	SAMN08367946	SRS3116207	NaN	62372	62372	62372	62372	62372	62372	62372	48552	3838	106	106	1
ESC_IA6337AA	FSIS11808269	"United States Department of Agriculture, Food Safety and Inspection Service"	Escherichia coli									4/4/18	3/4/18	ESC_IA6337AA	SRR6933174;ILLUMINA;Paired;500;SRX3878380	Livestock	Swine	animal-swine-market swine	2018				North America	United States	Iowa						PRJNA292667	SRP066916	SAMN08851681	SRS3118387	NaN	62641	62641	62641	62641	62641	62641	61401	9758	1060	106	106	1
ESC_IA6613AA	FSIS11808981	"United States Department of Agriculture, Food Safety and Inspection Service"	Escherichia coli									12/4/18	9/4/18	ESC_IA6613AA	SRR6973073;ILLUMINA;Paired;500;SRX3914918	Livestock	Bovine	animal-cattle-beef cow	2018				North America	United States	North Carolina						PRJNA292667	SRP066916	SAMN08899179	SRS3150565	NaN	62499	62499	62499	62499	62499	17168	17168	17168	1060	106	106	1
ESC_IA6616AA	FSIS11808972	"United States Department of Agriculture, Food Safety and Inspection Service"	Escherichia coli									12/4/18	9/4/18	ESC_IA6616AA	SRR6973045;ILLUMINA;Paired;500;SRX3914893	Livestock	Bovine	animal-cattle-dairy cow	2018				North America	United States	Wisconsin						PRJNA292667	SRP066916	SAMN08899174	SRS3150544	NaN	62502	62502	62502	62502	62502	62502	62502	62502	1060	106	106	1
ESC_IA6636AA	FSIS11808837	"United States Department of Agriculture, Food Safety and Inspection Service"	Escherichia coli									12/4/18	12/4/18	ESC_IA6636AA	SRR6986355;ILLUMINA;Paired;500;SRX3926093	Livestock	Bovine	animal-cattle-steer	2018				North America	United States	Texas						PRJNA292667	SRP066916	SAMN08909986	SRS3160062	NaN	62569	62569	62569	62569	62569	62569	17555	1186	1186	106	106	1
ESC_IA6724AA	FSIS11809112	"United States Department of Agriculture, Food Safety and Inspection Service"	Escherichia coli									16/4/18	16/4/18	ESC_IA6724AA	SRR7009031;ILLUMINA;Paired;500;SRX3941515	Livestock	Swine	animal-swine-market swine	2018				North America	United States	Illinois						PRJNA292667	SRP066916	SAMN08930680	SRS3172220	NaN	62937	62937	62937	62937	62937	62937	2776	1186	1186	106	106	1
ESC_IA7303AA	PSU-0657	FDA Center for Food Safety and Applied Nutrition	Escherichia coli									26/4/18	25/4/18	ESC_IA7303AA	SRR7065404;ILLUMINA;Paired;500;SRX3996213	Livestock	Bovine	"Cow, (Bovine)"	2000				South America	Argentina							PRJNA357722	SRP101500	SAMN08978140	SRS3220374	NaN	63078	63078	63078	63078	63078	63078	63078	63078	63078	106	106	1
